caseID,abdominal_pain_rolling_kicking_stomach,anaemia_pallor,ataxia_incoordinated_movement,anorexia_loss_of_appetite,constipation,depression_apathy,diarrhoea,abnormal_breathing_,dyspnoea_difficulty_breathing,staring_rough_coat,fecal_output_absence_of,hair_loss_alopecia,stunted_growth,lymphnode_enlargement,nasal_discharge_serous,submandibular_ventral_oedema,weakness,nasal_discharge_mucopurullent,weight_loss_emaciation,occular_discharge_invol_eyelid_closure,pyrexia_fever,swelling_neck_area,icterus_yellowish_mucous_membrane,coughing_including_owner_reported,dysentery_bloody_diarrhea,dehydration,occular_nasal_discharge,abortion,congested_mucous_membrane,dyspnoea_coughing,lameness,nodular_lesions_painful,sudden_death,region,location,species,age,breed,sex,app_disease,user_disease
78, ,Absent,Absent,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Oromia,Batu clinic,Sheep,7 - 12 months,Local,Female,Pasteurellosis_pneumonic,-1
79, ,Absent,Absent,Present,Absent,Absent,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Oromia,Batu clinic,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,-1
80, ,Absent,Absent,Absent,Absent,Absent,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent,Present,Absent, , ,Absent, , ,Oromia,Batu clinic,Sheep,13 - 24 months,Local,Male,zz_Other,12
83, ,Absent,Absent,Absent,Absent,Present,Absent, , ,Present, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,tulu clinic,Sheep,2 - 4 years,Local,Female,Mange mites,-1
84, ,Absent,Absent,Present,Absent,Absent,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Absent, ,Absent,Present,Absent, , ,Absent, , ,Oromia,Tulu clinic,Goats,0 - 6 months,Local,Male,Trichostrongylosis,-1
85, ,Present,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Present,Present, ,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,Tulu clinic,Sheep,7 - 12 months,Local,Male,Fasciolosis,-1
86, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Absent, ,Absent, ,Absent, , , , , , , ,Oromia,Tulu clinic,Cattle,Older than 4 years,Local,Male,GI parasites,-1
87, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,Tulu clinic,Goats,0 - 6 months,Local,Female,Trichostrongylosis,-1
88, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,Batu clinic,Cattle,2 - 4 years,Local,Female,zz_Other,76
89, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,Batu clinic,Cattle,13 - 24 months,Local,Female,zz_Other,76
90, ,Absent,Absent,Present,Absent, ,Present, ,Absent,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Absent, ,Absent, , , , , , , ,Oromia,Batu clinic,Cattle,13 - 24 months,Local,Male,GI parasites,-1
91, ,Absent,Absent,Present,Absent, ,Present, ,Absent,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Absent, ,Absent, , , , , , , ,Oromia,Batu clinic,Cattle,13 - 24 months,Local,Female,GI parasites,-1
92, ,Absent,Absent,Absent,Absent,Absent,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Present, ,Absent, ,Absent,Absent,Absent, , ,Present, , ,Oromia,Batu clinic,Sheep,2 - 4 years,Local,Female,Lungworm /Verminous pneumonia,-1
93,Absent,Absent,Absent,Absent, ,Present,Absent,Present, , ,Absent,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent,Present,Absent,Absent, ,Present, , , , , , , , ,Oromia,Batu clinic,Horse/Mule,2 - 4 years,Local,Male,Resp_asth_lungworm,-1
94, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,tulu clinic,Sheep,2 - 4 years,Local,Female,zz_Other,12
95, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,tulu clinic,Goats,13 - 24 months,Local,Male,zz_Other,12
96, ,Absent,Absent,Present,Absent, ,Absent, ,Absent,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,tulu clinic,Cattle,Older than 4 years,Local,Male,zz_Other,76
97, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Present, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Absent, ,Absent, ,Absent, , , , , , , ,Oromia,tulu clinic,Cattle,7 - 12 months,Local,Male,zz_Other,87
98, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Present, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Absent, ,Absent, ,Absent, , , , , , , ,Oromia,tulu clinic,Cattle,7 - 12 months,Local,Male,zz_Other,87
99, ,Absent,Absent,Present,Absent,Absent,Present, , ,Absent, , ,Absent,Absent, , ,Present,Present, ,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,tulu clinic,Sheep,2 - 4 years,Local,Female,Fasciolosis,-1
100, ,Absent,Absent,Present,Absent,Absent,Present, , ,Absent, , ,Absent,Absent, , ,Present,Present, ,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,Tulu clinic,Sheep,2 - 4 years,Local,Male,Fasciolosis,-1
101, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,tulu clinic,Goats,13 - 24 months,Local,Male,Trichostrongylosis,-1
